title_raw,market_listed,casino,notes,id,matched_title,match_score,needs_review,scrape_notes
Merge Cooking,us,0,,com.merge.cooking.theme.restaurant.food,Merge Cooking®,1.000,0,
Puzzles & Survival,us,0,normalized from 'Puzzles and Survival',com.global.ztmslg,Puzzles &amp; Survival,0.889,0,
Coin Master: Board Adventure,us,0,fixed from 'Coin Master - Board Adventure'; distinct app from Coin Master — verify,com.moonactive.cmboard,Coin Master - Board Adventure,1.000,0,
Coin Master,gb,0,,com.moonactive.coinmaster,Coin Master,1.000,0,
Pokémon GO,gb,0,,com.nianticlabs.pokemongo,Pokémon GO,1.000,0,
Monopoly GO!,gb,0,,com.scopely.monopolygo,MONOPOLY GO!,1.000,0,
Roblox,gb,0,,com.roblox.client,Roblox,1.000,0,
Candy Crush Saga,gb,0,,com.king.candycrushsaga,Candy Crush Saga,1.000,0,
Royal Match,gb,0,,com.dreamgames.royalmatch,Royal Match,1.000,0,
Kingshot,gb,0,,com.run.tower.defense,Kingshot,1.000,0,
Gossip Harbor: Merge & Story,gb,0,,com.mergegames.gossipharbor,Gossip Harbor®: Merge &amp; Story,0.926,0,
Township,gb,0,,com.playrix.township,Township,1.000,0,
Last War: Survival Game,gb,0,,com.fun.lastwar.gp,Last War:Survival Game,1.000,0,
Disney Solitaire,gb,0,,com.superplaystudios.disneysolitairedreams,Disney Solitaire,1.000,0,
Royal Kingdom,gb,0,fixed from 'Royal Kingdowm',com.dreamgames.royalkingdom,Royal Kingdom,1.000,0,
Whiteout Survival,gb,0,,com.gof.global,Whiteout Survival,1.000,0,
Gardenscapes,gb,0,fixed from 'Garden Scapes',com.playrix.gardenscapes,Gardenscapes,1.000,0,
Dice Dreams,gb,0,,com.superplaystudios.dicedreams,Dice Dreams™️,1.000,0,
Travel Town - Merge Adventure,gb,0,,io.randomco.travel,Travel Town - Merge Adventure,1.000,0,
Total Battle: Tactical Wars,gb,0,same app as US 'Total Battle: War Strategy',com.totalbattle,Total Battle: Tactical Wars,1.000,0,
Tasty Travels: Merge Game,gb,0,,com.fatmerge.global,Tasty Travels: Merge Game,1.000,0,
Coin Master: Board Adventure,gb,0,distinct app from Coin Master — verify,com.moonactive.cmboard,Coin Master - Board Adventure,1.000,0,
Homescapes,gb,0,,com.playrix.homescapes,Homescapes,1.000,0,
Fate/Grand Order,gb,0,,com.aniplex.fategrandorder.en,Fate/Grand Order (English),0.800,0,
Candy Crush Soda Saga,gb,0,,com.king.candycrushsodasaga,Candy Crush Soda Saga,1.000,0,
Flambe: Merge and Cook,gb,0,fixed casing from 'Flambe: Merge and cook',com.cola.game,Flambé®: Merge &amp; Cook,0.905,0,
Last Asylum: Plague,gb,0,,com.phs.global,Last Asylum: Plague,1.000,0,
Fishdom,gb,0,,com.playrix.fishdomdd.gplay,Fishdom,1.000,0,
Last Z: Survival Shooter,gb,0,,com.readygo.barrel.gp,Last Z: Survival Shooter,1.000,0,
RAID: Shadow Legends,gb,0,,com.plarium.raidlegends,RAID: Shadow Legends,1.000,0,
Bingo Blitz - Bingo Games,gb,1,fixed spacing; social bingo,air.com.buffalo_studios.newflashbingo,Bingo Blitz™️ - Bingo Games,1.000,0,
Toon Blast,gb,0,,net.peakgames.toonblast,Toon Blast,1.000,0,
Pixel Flow!,gb,0,,com.loomgames.pixelflow,Pixel Flow!,1.000,0,
Matching Story - Puzzle Games,gb,0,,com.joycastle.mergematch,Matching Story - Puzzle Games,1.000,0,
Evony: The King's Return,gb,0,,com.topgamesinc.evony,Evony: The King&#39;s Return,0.939,0,
Mystery Town: Merge Games,gb,0,,com.cedargames.mysterytown,Mystery Town: Merge Games,1.000,0,
Match Factory!,gb,0,,net.peakgames.match,Match Factory!,1.000,0,
Dragon Ball Legends,gb,0,,com.bandainamcoent.dblegends_ww,DRAGON BALL LEGENDS,1.000,0,
Domino Dreams,gb,0,,com.screenshake.dominodreams,Domino Dreams™,1.000,0,
Clash of Clans,gb,0,,com.supercell.clashofclans,Clash of Clans,1.000,0,
Bingo Voyage: Live Bingo Games,gb,1,social bingo,com.bingo.cruise.free.best.top.game,Bingo Voyage - Live Bingo Game,0.982,0,
Yarn Loop,gb,0,,com.combo.yarnflow,Yarn Loop,1.000,0,
Solitaire Grand Harvest,gb,0,,net.supertreat.solitaire,Solitaire Grand Harvest,1.000,0,
Seaside Escape: Merge & Story,gb,0,normalized from 'Seaside Escape: Merge and Story',com.gamedots.seasideescape,Seaside Escape®: Merge &amp; Story,0.929,0,
Merge Cooking,gb,0,,com.merge.cooking.theme.restaurant.food,Merge Cooking®,1.000,0,
"Warhammer 40,000: Tacticus",gb,0,,com.snowprintstudios.tacticus,"Warhammer 40,000: Tacticus ™",1.000,0,
Clash Royale,gb,0,,com.supercell.clashroyale,Clash Royale,1.000,0,
Dark War Survival,gb,0,,com.readygo.dark.gp,Dark War Survival,1.000,0,
Animals & Coins: Animal Run,gb,0,normalized from 'Animals and Coins' to match India row,com.innplaylabs.animalkingdomraid,Animals &amp; Coins,0.780,0,
Match Masters: PvP Puzzle Game,gb,0,,com.funtomic.matchmasters,Match Masters,0.619,1,low score 0.62
PUBG MOBILE,gb,0,fixed casing from 'PUBG Mobile',com.tencent.ig,PUBG MOBILE,1.000,0,
Bingo Frenzy - Live Bingo Games,gb,1,fixed casing from 'Bingo Frenzy - Live Bingo games'; social bingo,com.cooking.bingo.ldkwh,Bingo Frenzy: Live Bingo Games,1.000,0,
Hollywood Merge,gb,0,,com.hollywood.merge,Hollywood Merge,1.000,0,
Top Tycoon: Coin Theme Empire,gb,0,,com.monopoly.dream.idle.king,Top Tycoon: Coin Theme Empire,1.000,0,
