app_id,canonical_title,developer,markets,casino,title_raw,match_score,needs_review,notes
com.playrix.gardenscapes,Gardenscapes,Playrix,gb;in;us,0,Gardenscapes,1.000,0,fixed from 'Garden Scapes'
com.miHoYo.GenshinImpact,Genshin Impact,COGNOSPHERE PTE. LTD.,in,0,Genshin Impact,1.000,0,
com.proximabeta.nikke,GODDESS OF VICTORY: NIKKE,Level Infinite,us,0,Goddess of Victory: NIKKE,1.000,0,
com.mergegames.gossipharbor,Gossip Harbor: Merge & Story,Microfun Limited,gb;us,0,Gossip Harbor: Merge & Story,1.000,0,normalized from 'Gossip Harbor: Merge and Story'
cricketgames.hitwicket.strategy,Hitwicket™ Cricket Game 2026,Hitwicket Cricket Games,in,0,Hitwicket Cricket Game 2026,1.000,0,
com.hollywood.merge,Hollywood Merge,VoyagerOne IE,gb,0,Hollywood Merge,1.000,0,
com.playrix.homescapes,Homescapes,Playrix,gb;in;us,0,Homescapes,1.000,0,
com.williamsinteractive.jackpotparty,Jackpot Party Casino Slots,SciPlay,us,1,Jackpot Party Casino Slots,1.000,0,social casino slots
com.run.tower.defense,Kingshot,Century Games PTE. LTD.,gb;in;us,0,Kingshot,1.000,0,fixed from 'King Shot' (matches US/UK listing)
com.phs.global,Last Asylum: Plague,37GAMES GLOBAL,gb;us,0,Last Asylum: Plague,1.000,0,
com.fun.lastwar.gp,Last War:Survival Game,FUNFLY PTE. LTD.,gb;in;us,0,Last War: Survival Game,1.000,0,
com.readygo.barrel.gp,Last Z: Survival Shooter,Omnilojo Pte Ltd,gb;in;us,0,Last Z: Survival Shooter,1.000,0,
com.productmadness.lightninglink,Lightning Link Casino Slots,Product Madness,us,1,Lightning Link Casino Slots,1.000,0,fixed from 'Lighting Link Casino Slots'; social casino slots
com.igg.android.lordsmobile,Lords Mobile: Kingdom Wars,IGG.COM,in,0,Lords Mobile: Kingdom Wars,1.000,0,fixed casing from 'Lords Mobile: Kingdom wars'
com.diamondlife.slots.vegas.free,Lotsa Slots - Casino Games,SpinX Games Limited,us,1,Lotsa Slots - Casino Games,1.000,0,social casino slots
com.ludo.king,Ludo King®,Gametion,in,0,Ludo King,1.000,0,
com.MadOut.BIG,MadOut 2: Grand Auto Racing,MadOut Games LLC FZ,in,0,MadOut 2: Grand Auto Racing,1.000,0,
net.peakgames.match,Match Factory!,Peak,gb;us,0,Match Factory!,1.000,0,
com.funtomic.matchmasters,Match Masters,Candivore,gb,0,Match Masters: PvP Puzzle Game,0.619,0,FLAG: low score 0.62
com.joycastle.mergematch,Matching Story - Puzzle Games,VERTEX GAMES PTE. LTD.,gb,0,Matching Story - Puzzle Games,1.000,0,
com.plarium.mechlegion,Mech Arena - Shooting Game,Plarium Global Ltd,in,0,Mech Arena - Shooting Game,1.000,0,
com.merge.cooking.theme.restaurant.food,Merge Cooking®,Happibits Game,gb;us,0,Merge Cooking,1.000,0,
com.mobiin.gp,Moba Legends: 5v5!,Vizta Games,in,0,Moba Legends: 5v5!,1.000,0,VERIFY: fixed from 'Moba Legends: 5v5' — hand-check resolved id
com.scopely.monopolygo,MONOPOLY GO!,Scopely,gb;in;us,0,Monopoly GO!,1.000,0,normalized from 'Monopoly Go'
com.cedargames.mysterytown,Mystery Town: Merge Games,Cedar Games Studio,gb,0,Mystery Town: Merge Games,1.000,0,
com.loomgames.pixelflow,Pixel Flow!,Loom Games A.Ş.,gb;us,0,Pixel Flow!,1.000,0,
com.nianticlabs.pokemongo,Pokémon GO,"Niantic, Inc.",gb;in;us,0,Pokémon GO,1.000,0,fixed casing from 'Pokémon Go'
com.tencent.ig,PUBG MOBILE,Level Infinite,gb;us,0,PUBG MOBILE,1.000,0,fixed casing from 'PUBG Mobile'
com.global.ztmslg,Puzzles & Survival,37GAMES,us,0,Puzzles & Survival,1.000,0,normalized from 'Puzzles and Survival'
com.plarium.raidlegends,RAID: Shadow Legends,Plarium Global Ltd,gb,0,RAID: Shadow Legends,1.000,0,
com.nautilus.realcricket,Real Cricket™,"KRAFTON, Inc.",in,0,Real Cricket 26,0.889,0,VERIFY: 'Real Cricket' ambiguous across versions
com.roblox.client,Roblox,Roblox Corporation,gb;in;us,0,Roblox,1.000,0,
com.dreamgames.royalkingdom,Royal Kingdom,"Dream Games, Ltd.",gb;us,0,Royal Kingdom,1.000,0,fixed from 'Royal Kingdowm'
com.dreamgames.royalmatch,Royal Match,"Dream Games, Ltd.",gb;in;us,0,Royal Match,1.000,0,
com.gamedots.seasideescape,Seaside Escape®: Merge & Story,Microfun Limited,gb,0,Seaside Escape: Merge & Story,1.000,0,normalized from 'Seaside Escape: Merge and Story'
com.nekki.shadowfightarena,Shadow Fight 4: Arena,NEKKI,in,0,Shadow Fight 4: Arena,1.000,0,
net.supertreat.solitaire,Solitaire Grand Harvest,Supertreat - A Playtika Studio,gb;us,0,Solitaire Grand Harvest,1.000,0,
com.zjcs.android.us,Sword x Staff,BOLTRAY GAMES,us,0,Sword x Staff,1.000,0,
com.fatmerge.global,Tasty Travels: Merge Game,Century Games PTE. LTD.,gb;in;us,0,Tasty Travels: Merge Game,1.000,0,
com.teenpatti.hd.gold,Teen Patti GOLD: 3 Patti Rummy,Moonfrog,in,1,Teen Patti GOLD: 3 Patti Rummy,1.000,0,card gambling
com.octro.teenpatti,Teen Patti Octro 3 Patti Rummy,"Octro, Inc.",in,1,Teen Patti Octro 3 Patti Rummy,1.000,0,card gambling
com.funplus.ts.global,Tiles Survive!,FunPlus International AG,in,0,Tiles Survive!,1.000,0,
net.peakgames.toonblast,Toon Blast,Peak,gb;us,0,Toon Blast,1.000,0,
com.monopoly.dream.idle.king,Top Tycoon: Coin Theme Empire,BeheFun Games Limited,gb;in,0,Top Tycoon: Coin Theme Empire,1.000,0,
com.totalbattle,Total Battle: War Strategy,Scorewarrior,gb;us,0,Total Battle: Tactical Wars;Total Battle: War Strategy,1.000,0,FLAG: also matched by raw 'Total Battle: War Strategy' | fixed from 'Toral Battle: War Strategy'; same app as UK 'Total Battle: Tactical Wars' | same app as US 'Total Battle: War Strategy'
com.playrix.township,Township,Playrix,gb;in;us,0,Township,1.000,0,
io.randomco.travel,Travel Town - Merge Adventure,Magmatic Games LTD,gb;in;us,0,Travel Town - Merge Adventure,1.000,0,normalized from 'Travel Town Merge Adventure'
com.pixonic.wwr,War Robots Multiplayer Battles,MYGAMES MENA FZ LLC,in,0,War Robots Multiplayer Battles,1.000,0,
com.snowprintstudios.tacticus,"Warhammer 40,000: Tacticus ™",Snowprint Studios AB,gb,0,"Warhammer 40,000: Tacticus",1.000,0,
com.gof.global,Whiteout Survival,Century Games PTE. LTD.,gb;in;us,0,Whiteout Survival,1.000,0,
com.kurogame.wutheringwaves.global,Wuthering Waves - To Xuanfang,HK KURO GAMES LIMITED,in,0,Wuthering Waves,0.714,0,FLAG: low score 0.71 | seasonal subtitle; match base app
com.yalla.yallagames,Yalla Ludo - Ludo&Jackaroo,Aviva Sun,in,0,Yalla Ludo - Ludo & Domino,0.783,0,FLAG: low score 0.78 | fixed from 'Yalla Ludo - Ludo and Jackaroo'; verify match
com.combo.yarnflow,Yarn Loop,Combo Game,gb;us,0,Yarn Loop,1.000,0,
com.zynga.livepoker,Zynga Poker ™ – Texas Holdem,Zynga,in,1,Zynga Poker - Texas Holdem,1.000,0,poker
